epoch,experiment,total_epochs,neurons,batch_size,lag,direct_features,nearby_counties,nearby_features,run,train_rmse,test_rmse
31,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,16.00376262,28.37188684
32,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.96897803,28.19206192
33,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.96031456,28.16601266
34,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.99006354,27.95879317
35,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.97296891,27.82358973
36,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.88902067,27.96725275
37,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.88232301,27.54272447
38,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.9774543,27.67100752
39,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.98515177,27.18376514
40,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.80465676,25.72103164
41,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,1,15.93829775,25.78262238
